GEMS.Station.Number,Sample.Date,pH,NO2N,NO3N,DRP
ARG00003,2018-11-15,7.16,0.01,0.05,1.3
ARG00003,2019-05-08,7.1,0.01,0.1,0.05
ARG00003,2019-11-06,7.47,0.01,0.05,0.05
ARG00003,2020-02-26,8.15,0.01,0.11,0.7
ARG00003,2020-11-04,8.1,0.00075,0.23,0.00165
ARG00003,2021-06-28,8.15,0.0075,3.163,0.0165
ARG00003,2021-09-02,7.64,0.00075,0.09,0.02
ARG00003,2021-12-02,7.77,0.014,0.5,0.004
ARG00003,2022-02-17,8.15,0.00075,3.1,0.03
ARG00003,2022-06-08,7.57,0.00075,4.2,0.07
ARG00003,2022-08-28,7.94,0.02,2.2,0.05
ARG00003,2022-12-01,7.09,0.00075,4.0,0.25
ARG00006,2019-04-09,7.66,0.01,2.3,0.05
ARG00006,2020-01-22,7.75,0.01,1.3,0.05
ARG00006,2020-07-23,7.26,0.0076,4.77,0.0163
ARG00006,2020-10-15,7.63,0.0076,2.26,0.0163
ARG00006,2021-01-13,8.21,0.0075,2.259,0.0165
ARG00006,2021-04-14,7.89,0.0075,2.033,0.0165
ARG00006,2021-07-28,8.17,0.01,0.88,0.015
ARG00006,2021-10-13,7.55,0.01,9.0,0.04
ARG00006,2022-01-05,7.35,0.01,1.1,0.015
ARG00006,2022-04-04,7.52,0.01,2.0,0.015
ARG00006,2022-07-06,6.86,0.01,2.9,0.015
ARG00014,2018-08-27,8.37,0.06,0.05,0.05
ARG00014,2020-11-17,8.08,0.00075,0.66,0.00165
ARG00014,2021-02-23,7.81,0.00075,0.2,0.1
ARG00014,2021-05-10,7.91,0.02,0.18,0.2
ARG00014,2021-10-05,8.42,0.01,0.4,0.004
ARG00014,2021-11-16,8.14,0.004,4.1,0.004
ARG00014,2022-02-20,8.06,0.00075,1.0,0.02
ARG00014,2022-05-11,7.6,0.00075,0.8,0.03
ARG00014,2022-08-21,8.46,0.00075,0.6,0.004
ARG00014,2022-11-15,8.56,0.39,0.48,0.4
ARG00015,2018-11-14,6.73,0.01,0.05,0.4
ARG00015,2019-05-09,7.07,0.01,0.1,0.05
ARG00015,2019-08-15,8.64,0.01,0.05,0.05
ARG00015,2019-11-05,7.63,0.01,0.05,0.05
ARG00015,2020-02-25,7.55,0.01,0.05,0.62
ARG00015,2021-08-25,7.87,0.01,0.3,0.03
ARG00015,2021-11-25,7.59,0.016,3.8,0.004
ARG00015,2022-02-16,7.37,0.00075,4.5,0.05
ARG00015,2022-05-22,7.37,0.00075,3.6,0.04
ARG00015,2022-08-27,7.41,0.00075,3.0,0.02
ARG00015,2022-11-01,7.82,5.3,5.34,0.05
ARG00019,2021-02-22,7.98,0.04,0.3,0.08
ARG00019,2021-05-11,7.82,0.02,0.29,0.19
ARG00019,2021-11-02,7.82,0.006,0.4,0.004
ARG00019,2022-02-22,7.9,0.00075,1.1,0.02
ARG00020,2021-02-22,8.97,0.00075,0.2,0.23
ARG00020,2021-05-11,8.44,0.02,0.18,0.2
