GEMS.Station.Number,Sample.Date,pH,NO2N,NO3N,TP,O2-Dis,NH4N
AUT00009,2021-01-12,7.8,0.002002743582,0.613585192652,0.007,14.3,0.00400047648
AUT00009,2021-02-01,8.0,0.002002743582,0.623578436832,0.008,12.7,0.00400047648
AUT00009,2021-03-01,8.1,0.002002743582,0.666549386806,0.01,13.5,0.00400047648
AUT00009,2021-04-06,8.0,0.002002743582,0.5995946508,0.007,12.3,0.00600071472
AUT00009,2021-05-03,8.0,0.002002743582,0.517650048524,0.018,12.3,0.00600071472
AUT00009,2021-06-01,7.8,0.002002743582,0.258825024262,0.021,11.7,0.0050005956
AUT00009,2021-07-05,7.9,0.003004115373,0.27981083704,0.021,10.3,0.00400047648
AUT00009,2021-08-02,7.8,0.002002743582,0.302795298654,0.022,10.4,0.00600071472
AUT00009,2021-09-01,8.1,0.002002743582,0.383740576512,0.007,10.9,0.0050005956
AUT00009,2021-10-04,8.0,0.002002743582,0.490668289238,0.005,10.7,0.00800095296
AUT00009,2021-11-02,7.9,0.003004115373,0.433706797412,0.035,11.4,0.00400047648
AUT00009,2021-12-01,8.0,0.002002743582,0.521647346196,0.005,13.2,0.00700083384
AUT00040,2021-01-19,8.5,0.005697805491,0.713137891173,0.00496,13.4,0.021742589669
AUT00040,2021-02-10,8.4,0.005637723183,0.858969303492,0.0152,12.4,0.018792238265
AUT00040,2021-03-18,7.5,0.006769273307,0.792594175648,0.00871,12.5,0.039604717152
AUT00040,2021-04-20,8.4,0.006068313053,0.752411340801,0.00851,11.4,0.017862127483
AUT00040,2021-05-10,8.4,0.004205761522,0.225747386026,0.00991,10.8,0.012731516398
AUT00040,2021-06-22,8.6,0.006679149846,0.579038547522,0.01063,9.3,0.02050244196
AUT00040,2021-07-20,8.0,0.010274074576,0.686046206201,0.00825,9.4,0.014441720093
AUT00040,2021-08-24,8.0,0.007530315868,0.656246352056,0.01357,10.4,0.012971544986
AUT00040,2021-09-21,8.4,0.008441564198,0.762124774144,0.01128,10.8,0.00800095296
AUT00040,2021-10-13,8.4,0.006859396768,0.738870494937,0.00982,11.2,0.007770925562
AUT00040,2021-11-16,8.3,0.007119753434,0.768220653093,0.05286,11.9,0.01233146875
AUT00040,2021-12-14,8.4,0.008792044325,0.870931216775,0.01295,12.3,0.009191094713
AUT00057,2014-01-07,8.2,0.052,2.063,0.056,12.5,0.061
AUT00057,2014-01-20,8.1,0.037,2.169,0.021,13.7,0.036
AUT00057,2014-02-04,8.3,0.028,2.361,0.018,12.7,0.034
AUT00057,2014-02-19,8.3,0.038,2.533,0.033,12.3,0.056
AUT00057,2014-03-03,8.0,0.044,2.839,0.025,11.7,0.06
